X,logFC,AveExpr,t,P.Value,adj.P.Val,B
GALNS,-0.584384291,7.851637698,-2.881906419,0.008408073,0.114963509,-2.864126456
MMP3,1.206513395,8.207404464,2.8811792,0.008422272,0.114963509,-2.865681837
MRC2,-0.510197074,8.583452468,-2.87975025,0.008450239,0.114963509,-2.868737568
COL2A1,-1.262293018,15.96573964,-2.878526784,0.008474254,0.114963509,-2.871353336
RPL30,0.491938312,12.40080874,2.872641846,0.008590679,0.115076132,-2.883928257
TPD52L2,-0.549896076,8.718555416,-2.87032565,0.008636918,0.115076132,-2.888874285
HTRA3,1.040488497,10.02857738,2.870159853,0.008640237,0.115076132,-2.889228261
NT5E,-0.812943185,11.23891243,-2.868525253,0.008673024,0.115076132,-2.892717614
SFRP5,1.323622199,6.890458677,2.844964691,0.011171919,0.132238138,-2.897165844
ALDH1A1,0.963700808,5.755816716,2.848734146,0.012170174,0.14009363,-2.912005786
COL8A2,0.835310159,7.280436508,2.849315479,0.010629345,0.127853373,-2.916775495
YWHAQ,-0.416012104,9.155511177,-2.851975358,0.009011717,0.118189294,-2.927995049
ANGPTL2,-0.845403608,8.73111761,-2.850108989,0.009050692,0.118189294,-2.931967467
PRDX4,-0.691604135,9.383406537,-2.84918421,0.009070064,0.118189294,-2.933935342
CDA,-1.052384841,6.559463539,-2.836827764,0.010525383,0.127117528,-2.939511071
ATP1B1,-0.63637589,9.531048609,-2.844808965,0.009162248,0.118869162,-2.943241594
CLIC4,-0.455827279,9.917000791,-2.839274,0.009280143,0.119864546,-2.955005097
RPL23,0.610556234,10.08760895,2.835562478,0.009360005,0.119864546,-2.962887252
NQO1,0.66619074,7.97381972,2.828646679,0.009765592,0.122938878,-2.971829374
ALDH2,-0.524031743,9.725086236,-2.825885457,0.00957131,0.122044476,-2.983415695
AOC2,-1.117360746,7.810549009,-2.82265595,0.009642832,0.122430997,-2.990259324
PAMR1,0.896827268,6.288869526,2.789780268,0.013710746,0.150466859,-3.020976324
SFRP1,1.041987782,7.718440146,2.80208668,0.010110409,0.126742726,-3.033760857
SEC24D,-0.493126243,7.951111951,-2.796305908,0.01024564,0.127117528,-3.04595931
PALS2,-0.451766974,9.000373416,-2.794384121,0.010290975,0.127117528,-3.050011962
PPIA,-0.628993344,12.80021191,-2.793164181,0.010319852,0.127117528,-3.052583872
PPIH,-0.494509149,7.889775355,-2.789410808,0.010409181,0.127117528,-3.060493462
NDRG1,-0.476265764,9.128817927,-2.788277079,0.010436307,0.127117528,-3.0628816
PAK2,-0.378322431,7.132089326,-2.787791471,0.010447946,0.127117528,-3.063904365
VTA1,-0.403061928,7.514088976,-2.785066449,0.01051349,0.127117528,-3.069642089
CHP1,-0.464160016,7.43390728,-2.781525395,0.010869733,0.129694681,-3.070198948
GNAQ,-0.707005313,7.581139372,-2.784666143,0.010523151,0.127117528,-3.070484735
JAM3,-0.842825354,6.663514748,-2.767660392,0.014336365,0.154323695,-3.070913756
ITGA6,-0.547549212,5.918453844,-2.775273402,0.011662186,0.136549465,-3.072013763
TPST2,0.691171739,6.660888664,2.770463643,0.012589312,0.142947092,-3.07209775
UBTD1,-0.533961288,6.396242759,-2.755959279,0.01298576,0.145040195,-3.087403229
MYDGF,-0.638627328,8.446403209,-2.773926758,0.010785499,0.129208541,-3.093069392
VIT,-0.602932236,15.06150981,-2.767741861,0.010939386,0.130003662,-3.106056933
SLC25A12,-0.527533915,6.655163471,-2.742823562,0.012526621,0.142947092,-3.137519808
UCHL1,1.241718727,7.114952085,2.729970355,0.014804985,0.155977345,-3.141438364
ABR,-0.389558311,7.288852736,-2.74975187,0.011398894,0.134389343,-3.143753501
RHOT2,-0.662651076,5.885600104,-2.722631593,0.016471375,0.165325865,-3.148711896
LAMB2,-0.729009181,9.615913952,-2.739305417,0.011674037,0.136549465,-3.165587896
GALE,-0.435278634,10.37931049,-2.733456846,0.011830808,0.137840507,-3.177794247
CAPZB,-0.357806262,10.71425416,-2.727122869,0.012002831,0.139298486,-3.190999098
