"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"A0A3Q2I1J3",0.301120091261528,5.67666534138191,0.714147842368278,0.486093627554952,0.877941407837225,-5.30653992989642
"FGF2",0.403880721230497,10.6334893500084,0.947825602931872,0.353993401188755,0.83750470618746,-5.30682044279931
"GLG1",-0.447318925273955,7.77296415955913,-0.947567543164324,0.354121761958778,0.83750470618746,-5.30703914074198
"APOE",-0.398602548821763,9.22436532738161,-0.947464044713667,0.354173251687646,0.83750470618746,-5.3071268373772
"HSPA4",-0.322723911530432,8.15294433723282,-0.947463656858089,0.354173444652526,0.83750470618746,-5.30712716599984
"PLD3",-0.326330475771844,7.73861512656899,-0.899070387803572,0.379307186118376,0.847024354662101,-5.30754231412042
"RAB11A",-0.236281504975188,9.36357563441429,-0.946149053579543,0.354827891926092,0.83750470618746,-5.30824030156765
"RPL29",-0.486434664822073,9.6467205821941,-0.897435684674853,0.380711804357721,0.847024354662101,-5.30835040095036
"ATP8B2",-0.383203504704305,7.16510365775342,-0.916743931408324,0.370194029225222,0.844021380446105,-5.30835698834725
"RPS26",0.512520538980928,9.91112680011814,0.945469802160829,0.355166363479282,0.83750470618746,-5.30881490458363
"GAPVD1",0.303871721961296,6.25744151836236,0.841742758733916,0.410969969108742,0.854934279656272,-5.30884495173589
"TJP1",0.417357356160886,5.65173391520663,0.868077002677937,0.396178751897988,0.852057774193103,-5.30980910664541
"RPL36",0.365968370145509,11.1401375446246,0.943663978440737,0.356067269531113,0.83750470618746,-5.31034068998153
"SEPTIN2",-0.31086607220408,9.18276713631318,-0.943451819598321,0.3561732146691,0.83750470618746,-5.31051977407733
"NSF",-0.272356802259022,7.520711994182,-0.94329180721685,0.356253133682199,0.83750470618746,-5.31065481691016
"H3-3A",0.388320003933227,14.7685707902205,0.942777444548386,0.356510116911065,0.83750470618746,-5.3110887733455
"VCP",-0.377830801451463,10.3885465429598,-0.942548447023824,0.356624567779814,0.83750470618746,-5.31128190421884
"LEMD2",-0.298853814469385,7.61057163709619,-0.913129019813563,0.372046018215562,0.84599938404086,-5.31130440020891
"KPNA6",-0.297136154304004,6.33135673694357,-0.689126740208503,0.501257886956818,0.886299247240313,-5.31156410996396
"BCAP31",0.542646043325788,8.02638948188835,0.439739887811607,0.666832767990527,0.932848173183756,-5.31199137867619
"CAMK2A",0.269207255976993,8.80652755970375,0.773968211850328,0.450227969836532,0.861924549648197,-5.31235223636164
"DNTTIP1",0.406938219204278,5.82072365233622,0.661145859651802,0.519243856546692,0.892280304038195,-5.31246918928135
"PRPF4",0.162991109661722,6.62192763121564,0.304633089209463,0.765463831151122,0.950178377715034,-5.31247596168151
"SMG8",-0.21904248328105,6.14101103476792,-0.30438762087837,0.765646638006113,0.950178377715034,-5.31253817163552
"RRS1",0.401107223451212,6.15424000053193,0.659975034752339,0.519972851974311,0.892280304038195,-5.31313920840066
"NAPG",-0.373574817075689,7.10106866723627,-0.910442331914503,0.373426458759318,0.847024354662101,-5.31348811551574
"ERI3",0.296178293789073,6.66083284441339,0.881321032608099,0.389151263484219,0.852057774193103,-5.31376136334492
"PRKCA",-0.335151705215593,8.5475323071705,-0.939269865959766,0.358265895298884,0.83750470618746,-5.31404229621601
"DDR2",0.413299588553854,7.21965124922453,0.788446009137787,0.441286207733001,0.857662227417305,-5.31494482960385
"ANG",-0.853782900861245,10.2027121968828,-0.938194766210821,0.35880522125823,0.83750470618746,-5.31494556665394
"EIF5",-0.311486851407902,8.75488073906198,-0.937612374798696,0.359097607606035,0.83750470618746,-5.31543448312309
"LOC111772161",0.383796545745525,8.7425481084298,0.936719790636523,0.359546036145632,0.83750470618746,-5.31618326909738
"PCYOX1",-0.351577220276791,7.13804229195801,-0.936176630377164,0.359819100967746,0.83750470618746,-5.31663860650787
"BMP3",0.881513369303021,7.56765463875413,0.935659770822729,0.36007907323675,0.83750470618746,-5.31707167229764
"AHCY",0.274660250692725,10.2325743417885,0.935526309947616,0.360146222513304,0.83750470618746,-5.3171834609677
"RBM39",-0.349125191477261,8.01032375440844,-0.935332953015748,0.360243522747514,0.83750470618746,-5.31734539362434
"FCHO2",0.0781281955199509,5.77980821508029,0.134402400127965,0.895509748220749,0.977071615544553,-5.3181112899975
"RBFOX2",-0.0750739648423513,5.5516575812152,-0.122291132035324,0.904871998135728,0.9796752230593,-5.31941115851438
"S100A4",-0.62496483859039,11.5120585285363,-0.932575815841525,0.361632882821143,0.83920267269337,-5.31965112287693
"HSD17B4",-0.30066799756905,6.79593288970894,-0.902627780405553,0.377461006693553,0.847024354662101,-5.31980635979393
"SKIC3",-0.0908196422866972,4.79525378079745,-0.115727008812178,0.909952606030318,0.98089394540695,-5.32006458243039
"SEC11A",0.657628504057488,7.30327088496221,0.83453243112641,0.414913817448593,0.854934279656272,-5.32085213561144
"NCF1",0.333277412629888,6.1874773828058,0.538385217276985,0.599401693657945,0.909021666931459,-5.3213059235886
"AMDHD2",-0.343953782855522,7.20589622999857,-0.929752869285633,0.363059133316884,0.83937217203298,-5.32200545586848
"TIMP1",-0.58948170739254,4.7858093339939,-0.55332526001956,0.590192495871349,0.906536935904451,-5.32214521121508
"MAP2K6",-0.311886910047711,6.43454615369094,-0.670761445676602,0.512562156471238,0.88918329749062,-5.32240594316711
"GGH",-0.292336758456727,7.98689560380702,-0.928757922918991,0.36356271365301,0.83937217203298,-5.32283368773887
"STAT3",-0.246685492993562,6.08997090564228,-0.898802203594451,0.379446607607578,0.847024354662101,-5.32288130248122
"PCBP2",-0.334424310494467,10.4575764296994,-0.928497862967148,0.363694417152362,0.83937217203298,-5.32305003832231
"C3",0.669013169355648,11.361034697783,0.928408147538071,0.363739859623982,0.83937217203298,-5.32312466207587
"MFAP2",-0.572552657651876,8.65785611415569,-0.898304600877767,0.379705387237885,0.847024354662101,-5.3232803916419
"VPS35",0.319075324760408,8.56191200874903,0.927798161835613,0.364048929298003,0.83937217203298,-5.32363186323811
"WBP11",-0.545522567432866,7.35398888918009,-0.9274109758817,0.364245201376329,0.83937217203298,-5.32395364927701
